Player,Player-additional,League,Season,Home Continent,Home Country,Home City,Overall Value,Offensive Performance,Defensive Performance,Measurables,Migration Difficulty
Manu Ginóbili,ginobma01,NBA,2009-10,South America,Argentina,Bahia Blanca,21,,,,26.0
Hakeem Olajuwon,olajuha01,NBA,1995-96,Africa,Nigeria,Lagos,71,,,,10.0
Tony Parker,parketo01,NBA,2006-07,Europe,Belgium,Bruges,71,,,,22.0
Serge Ibaka,ibakase01,NBA,2013-14,Africa,Congo Republic,Brazzaville,21,,,,27.0
Tim Duncan,duncati01,NBA,2014-15,North America,United States Virgin Islands,St. Croix,71,,,,3.0
Nenê,hilarne01,NBA,2010-11,South America,Brazil,Sao Carlos,21,,,,24.0
Dikembe Mutombo,mutomdi01,NBA,2001-02,Africa,DR Congo,Kinshasa,71,,,,57.0
Tony Parker,parketo01,NBA,2005-06,Europe,Belgium,Bruges,71,,,,22.0
Patrick Ewing,ewingpa01,NBA,1994-95,North America,Jamaica,Kingston,71,,,,3.0
Hakeem Olajuwon,olajuha01,NBA,1985-86,Africa,Nigeria,Lagos,71,,,,10.0
Vlade Divac,divacvl01,NBA,1994-95,Europe,Serbia,Prijepolje,21,,,,69.0
Al Horford,horfoal01,NBA,2015-16,North America,Dominican Republic,Puerto Plata,71,,,,17.0
Carlos Boozer,boozeca01,NBA,2003-04,Europe,Germany,Aschaffenburg,21,,,,37.0
Dikembe Mutombo,mutomdi01,NBA,1993-94,Africa,DR Congo,Kinshasa,21,,,,57.0
Serge Ibaka,ibakase01,NBA,2012-13,Africa,Congo Republic,Brazzaville,21,,,,27.0
Zydrunas Ilgauskas,ilgauzy01,NBA,1997-98,Europe,Lithuania,Kaunas,21,,,,68.0
Tony Parker,parketo01,NBA,2012-13,Europe,Belgium,Bruges,71,,,,22.0
Mehmet Okur,okurme01,NBA,2005-06,Asia,Türkiye,Yalova,21,,,,70.0
Rudy Gobert,goberru01,NBA,2014-15,Europe,France,Saint-Quentin,21,,,,22.0
Pascal Siakam,siakapa01,NBA,2018-19,Africa,Cameroon,Douala,21,,,,11.0
Nenê,hilarne01,NBA,2008-09,South America,Brazil,Sao Carlos,21,,,,24.0
Ben Simmons,simmobe01,NBA,2017-18,Oceania,Australia,Melbourne,21,,,,15.0
Andrei Kirilenko,kirilan01,NBA,2002-03,Europe,Russia,Izhevsk,21,,,,70.0
Hakeem Olajuwon,olajuha01,NBA,1996-97,Africa,Nigeria,Lagos,70,,,,10.0
Manu Ginóbili,ginobma01,NBA,2003-04,South America,Argentina,Bahia Blanca,20,,,,26.0
Steven Adams,adamsst01,NBA,2018-19,Oceania,New Zealand,Rotorua,20,,,,13.0
Detlef Schrempf,schrede01,NBA,1990-91,Europe,Germany,Leverkusen,20,,,,37.0
Hedo Türkoğlu,turkohe01,NBA,2007-08,Asia,Türkiye,Istanbul,20,,,,70.0
Kyrie Irving,irvinky01,NBA,2018-19,Oceania,Australia,Melbourne,70,,,,15.0
Kyrie Irving,irvinky01,NBA,2016-17,Oceania,Australia,Melbourne,70,,,,15.0
