Rk,Player,Ht.,From,To,Age,G,GS,Ht..1,Wt.,BMI,Pos,Team,Player-additional
5677,Alex Tanney,6-4,2015,2019,28-32,2,0.0,6-4,220.0,26.8,QB,NYGTEN,TannAl00
5678,John Tanner,6-4,1971,1974,26-29,40,5.0,6-4,241.0,29.3,LB,NWESDG,TannJo21
5679,Ryan Tannehill,6-4,2012,2023,24-35,155,151.0,6-4,217.0,26.4,QB,MIATEN,TannRy00
5680,George Tarasovic,6-4,1952,1966,22-36,155,119.0,6-4,245.0,29.8,LDE,DENPHIPIT,TaraGe20
5681,Bob Tatarek,6-4,1968,1972,22-26,49,33.0,6-4,270.0,32.9,RDT,BUFDET,TataBo20
5682,Aaron Taylor,6-4,1995,1999,23-27,75,75.0,6-4,305.0,37.1,LG,GNBSDG,TaylAa20
5683,Cooper Taylor,6-4,2013,2015,23-25,16,0.0,6-4,229.0,27.9,DB,NYG,TaylCo01
5684,Darrell Taylor,6-4,2021,2023,24-26,49,13.0,6-4,267.0,32.5,LB,SEA,TaylDa00
5685,Dave Taylor,6-4,1973,1979,24-30,72,62.0,6-4,260.0,31.6,T,BAL,TaylDa20
5686,Herbert Taylor,6-4,2007,2012,23-28,20,2.0,6-4,282.0,34.3,T,JAXKAN,TaylHe21
5687,Hugh Taylor,6-4,1947,1954,24-31,94,64.0,6-4,194.0,23.6,,WAS,TaylHu00
5688,J.T. Taylor,6-4,1978,1981,22-25,57,57.0,6-4,265.0,32.3,LT,NOR,TaylJ.20
5689,Johnny Taylor,6-4,1984,1987,23-26,30,10.0,6-4,237.0,28.8,LB,ATLMIASDG,TaylJo21
5690,Mike Taylor,6-4,1968,1973,23-28,46,15.0,6-4,255.0,31.0,T,NORPITSTLWAS,TaylMi21
5691,Troy Taylor,6-4,1990,1991,22-23,7,0.0,6-4,200.0,24.3,QB,NYJ,TaylTr00
5692,Sam Tecklenburg,6-4,2020,2021,23-24,17,1.0,6-4,310.0,37.7,T,CAR,TeckSa00
5693,Lance Teichelman,6-4,1994,1994,24,1,0.0,6-4,274.0,33.3,DL,IND,TeicLa20
5694,Mike Teifke,6-4,1987,1987,24,3,0.0,6-4,255.0,31.0,C,CLE,TeifMi20
5695,Randall Telfer,6-4,2016,2017,24-25,30,19.0,6-4,250.0,30.4,TE,CLE,TelfRa00
5696,Wyatt Teller,6-4,2018,2023,24-29,83,75.0,6-4,315.0,38.3,RG,BUFCLE,TellWy00
5697,Jim Temp,6-4,1957,1960,24-27,43,21.0,6-4,245.0,29.8,RDE,GNB,TempJi20
5698,Matt Tennant,6-4,2010,2012,23-25,36,0.0,6-4,274.0,33.3,C,NORPHI,TennMa20
5699,Scott Tercero,6-4,2004,2004,23,8,4.0,6-4,303.0,36.9,G,STL,TercSc20
5700,Daryl Terrell,6-4,1999,2003,24-28,56,11.0,6-4,317.0,38.6,G,JAXNORWAS,TerrDa20
5701,Rick Terry,6-4,1997,1999,23-25,29,3.0,6-4,302.0,36.8,DT,CARNYJ,TerrRi20
5702,Larry Tharpe,6-4,1992,2000,22-30,76,48.0,6-4,300.0,36.5,RT/LT,ARIDETPIT,TharLa20
5703,Tom Thayer,6-4,1985,1993,24-32,126,120.0,6-4,271.0,33.0,RG,CHIMIA,ThayTo20
5704,John Thierry,6-4,1994,2002,23-31,131,70.0,6-4,265.0,32.3,LDE,ATLCHICLEGNB,ThieJo20
5705,R.C. Thielemann,6-4,1977,1988,22-33,157,148.0,6-4,255.0,31.0,RG,ATLWAS,ThieR.00
5706,Arland Thompson,6-4,1980,1987,23-30,17,5.0,6-4,265.0,32.3,G,BALDENGNBKAN,ThomAr20
5707,Ben Thomas,6-4,1985,1991,24-30,54,18.0,6-4,280.0,34.1,DT,ATLGNBNWEPITRAM,ThomBe20
5708,Broderick Thomas,6-4,1989,1997,22-30,144,96.0,6-4,250.0,30.4,RLB,DALDETMINTAM,ThomBr20
5709,Bryan Thomas,6-4,2002,2012,23-33,157,104.0,6-4,265.0,32.3,DE,NYJ,ThomBr21
5710,Cameron Thomas,6-4,2022,2023,22-23,32,3.0,6-4,267.0,32.5,OLB,ARI,ThomCa03
5711,Chris Thome,6-4,1991,1992,22-23,11,0.0,6-4,278.0,33.8,C,CLE,ThomCh22
5712,Colin Thompson,6-4,2020,2021,27-28,26,6.0,6-4,255.0,31.0,TE,CAR,ThomCo03
5713,Dave Thompson,6-4,1971,1975,22-26,56,21.0,6-4,270.0,32.9,LT,DETNOR,ThomDa23
5714,Don Thompson,6-4,1962,1964,23-25,27,0.0,6-4,240.0,29.2,DE,BALPHI,ThomDo23
5715,Donnell Thompson,6-4,1981,1991,23-33,147,143.0,6-4,270.0,32.9,LDE,BALIND,ThomDo25
5716,Ian Thomas,6-4,2018,2023,22-27,94,52.0,6-4,260.0,31.6,TE,CAR,ThomIa00
5717,Jason Thomas,6-4,2002,2003,25-26,14,0.0,6-4,325.0,39.6,G,BAL,ThomJa20
5718,Jaimie Thomas,6-4,2010,2010,24,8,0.0,6-4,330.0,40.2,G,IND,ThomJa22
5719,Jeremy Thompson,6-4,2008,2009,23-24,15,3.0,6-4,262.0,31.9,DE,GNB,ThomJe99
5720,John Thomas,6-4,1958,1967,23-32,122,112.0,6-4,246.0,29.9,LG,SFO,ThomJo00
5721,Jordan Thompson,6-4,2014,2014,25,2,0.0,6-4,248.0,30.2,TE,DET,ThomJo03
5722,John Thomas,6-4,1987,1987,23,3,3.0,6-4,280.0,34.1,T,NYJ,ThomJo23
5723,Mark Thomas,6-4,1999,1999,23,2,0.0,6-4,252.0,30.7,TE,NYG,ThomMa21
5724,Michael Thompson,6-4,2000,2002,23-25,12,4.0,6-4,295.0,35.9,T,ATL,ThomMi20
5725,Mike Thompson,6-4,1995,2000,24-29,34,0.0,6-4,295.0,35.9,DT,CINCLEJAX,ThomMi21
5726,Santonio Thomas,6-4,2007,2008,26-27,15,1.0,6-4,305.0,37.1,DT,CLENWE,ThomSa99
5727,Cedric Thornton,6-4,2012,2017,24-29,89,48.0,6-4,290.0,35.3,DT,BUFDALPHI,ThorCe00
5728,Don Thorp,6-4,1984,1988,22-26,14,3.0,6-4,260.0,31.6,DE,INDKANNOR,ThorDo20
5729,Nick Thurman,6-4,2020,2023,25-28,25,1.0,6-4,305.0,37.1,DE,ATLCARNWE,ThurNi00
5730,D.J. Tialavea,6-4,2016,2016,25,2,0.0,6-4,260.0,31.6,TE,ATL,TialD.00
5731,Andre Tillman,6-4,1975,1978,23-26,58,52.0,6-4,230.0,28.0,TE,MIA,TillAn00
5732,Andrew Tiller,6-4,2014,2016,25-27,28,14.0,6-4,324.0,39.4,RG,SFO,TillAn01
5733,Ron Tilton,6-4,1986,1986,23,7,0.0,6-4,250.0,30.4,G,WAS,TiltRo20
5734,Bob Timberlake,6-4,1965,1965,22,12,0.0,6-4,220.0,26.8,K,NYG,TimbBo20
5735,Adam Timmerman,6-4,1995,2006,24-35,187,172.0,6-4,310.0,37.7,G,GNBSTL,TimmAd20
5736,Buddy Tinsley,6-4,1949,1949,25,10,10.0,6-4,245.0,29.8,RT,LAD,TinsBu20
5737,Glen Titensor,6-4,1981,1988,23-30,92,46.0,6-4,263.0,32.0,G,DAL,TiteGl20
5738,Robbie Tobeck,6-4,1994,2006,24-36,176,166.0,6-4,297.0,36.1,LG,ATLSEA,TobeRo55
5739,Steve Tobin,6-4,1980,1980,23,4,0.0,6-4,258.0,31.4,C,NYG,TobiSt20
5740,Noah Togiai,6-4,2020,2023,23-26,8,0.0,6-4,244.0,29.7,TE,INDPHI,TogiNo00
5741,Jim Tolbert,6-4,1966,1976,22-32,105,55.0,6-4,200.0,24.3,DB,HOUSDGSTL,TolbJi20
5742,Dave Tollefson,6-4,2007,2012,25-30,78,2.0,6-4,260.0,31.6,DE,NYGOAK,TollDa99
5743,Cameron Tom,6-4,2018,2023,23-28,14,1.0,6-4,300.0,36.5,C,LACMIANOR,TomxCa00
5744,Mel Tom,6-4,1967,1975,26-34,117,95.0,6-4,249.0,30.3,RDE,CHIPHI,TomxMe20
5745,Zach Tom,6-4,2022,2023,23-24,26,22.0,6-4,304.0,37.0,OL,GNB,TomxZa00
5746,Jake Tonges,6-4,2022,2022,23,4,0.0,6-4,240.0,29.2,TE,CHI,TongJa00
5747,Khyiris Tonga,6-4,2021,2023,25-27,40,6.0,6-4,338.0,41.1,DT,CHIMIN,TongKh00
5748,Al Toon,6-4,1985,1992,22-29,107,95.0,6-4,205.0,25.0,WR,NYJ,ToonAl00
5749,Bob Torrey,6-4,1979,1980,22-23,14,0.0,6-4,231.0,28.1,RB,MIANYGPHI,TorrBo00
5750,Morris Towns,6-4,1977,1984,23-30,92,67.0,6-4,270.0,32.9,T,HOUWAS,TownMo20
5751,Willie Townes,6-4,1966,1970,23-27,38,29.0,6-4,260.0,31.6,LDE,DALNOR,TownWi20
5752,Adrian Tracy,6-4,2012,2012,25,16,0.0,6-4,243.0,29.6,LB,NYG,TracAd99
5753,Orville Trask,6-4,1960,1962,26-28,35,28.0,6-4,260.0,31.6,LDT,HOUOAK,TrasOr20
5754,Justin Trattou,6-4,2011,2016,23-28,37,0.0,6-4,258.0,31.4,DE,MINNYG,TratJu00
5755,Tommy Tremble,6-4,2021,2023,21-23,49,23.0,6-4,250.0,30.4,TE,CAR,TremTo00
5756,J.C. Tretter,6-4,2014,2021,23-30,111,90.0,6-4,307.0,37.4,C,CLEGNB,TretJC00
5757,Sebastian Tretola,6-4,2016,2016,24,1,0.0,6-4,317.0,38.6,G,TEN,TretSe00
5758,Ben Troupe,6-4,2004,2008,22-26,57,29.0,6-4,262.0,31.9,TE,TAMTEN,TrouBe00
5759,Johnnie Troutman,6-4,2013,2014,26-27,29,24.0,6-4,325.0,39.6,RG,SDG,TrouJo00
5760,Dave Truitt,6-4,1987,1987,23,1,0.0,6-4,232.0,28.2,TE,WAS,TruiDa20
5761,R-Kal Truluck,6-4,2002,2005,28-31,41,1.0,6-4,255.0,31.0,DE,ARIGNBKAN,TrulR-20
5762,Jason Trusnik,6-4,2007,2016,23-32,120,25.0,6-4,241.0,29.3,ROLB,CLEMIAMINNORNYJ,TrusJa99
5763,Eric Truvillion,6-4,1987,1987,28,3,3.0,6-4,205.0,25.0,WR,DET,TruvEr20
5764,Natu Tuatagaloa,6-4,1989,1995,23-29,76,26.0,6-4,273.0,33.2,DE,CINHOUSEA,TuatNa20
5765,Winfred Tubbs,6-4,1994,2000,24-30,98,86.0,6-4,250.0,30.4,RILB,NORSFO,TubbWi20
5766,Ross Tucker,6-4,2001,2005,22-26,42,24.0,6-4,316.0,38.5,G,BUFDALNWEWAS,TuckRo20
5767,Sean Tufts,6-4,2004,2005,22-23,15,0.0,6-4,240.0,29.2,LB,CAR,TuftSe20
5768,Tom Tuinei,6-4,1980,1980,22,12,2.0,6-4,250.0,30.4,DT,DET,TuinTo20
5769,Van Tuinei,6-4,1997,2000,26-29,45,10.0,6-4,290.0,35.3,RDE,CHIINDSDG,TuinVa20
5770,Will Tukuafu,6-4,2011,2016,27-32,50,4.0,6-4,272.0,33.1,FB,SEASFO,TukuWi00
5771,Jerame Tuman,6-4,1999,2008,23-32,123,59.0,6-4,253.0,30.8,TE,ARIPIT,TumaJe00
5772,Tom Tupa,6-4,1988,2004,22-38,220,13.0,6-4,225.0,27.4,P,CLEINDNWENYJPHOTAMWAS,TupaTo20
5773,Dan Turk,6-4,1985,1999,23-37,218,40.0,6-4,290.0,35.3,LS,OAKPITRAITAMWAS,TurkDa20
5774,Bill Turner,6-4,1987,1987,27,2,0.0,6-4,245.0,29.8,G,NWE,TurnBi20
5775,Calvin Turner,6-4,1987,1987,27,3,0.0,6-4,270.0,32.9,DE,TAM,TurnCa20
5776,Landon Turner,6-4,2016,2016,23,7,1.0,6-4,325.0,39.6,G,NOR,TurnLa00
5777,Renaldo Turnbull,6-4,1990,1997,24-31,120,60.0,6-4,250.0,30.4,RDE,CARNOR,TurnRe00
5778,Robert Turner,6-4,2007,2013,23-29,63,24.0,6-4,308.0,37.5,TE,NYJSTLTEN,TurnRo22
5779,T.J. Turner,6-4,1986,1992,23-29,101,83.0,6-4,276.0,33.6,LDE,MIA,TurnT.20
5780,Tom Turnure,6-4,1980,1986,23-29,63,0.0,6-4,250.0,30.4,LS,DET,TurnTo20
5781,Miles Turpin,6-4,1986,1987,22-23,4,2.0,6-4,230.0,28.0,LB,GNBTAM,TurpMi20
5782,Derrek Tuszka,6-4,2020,2022,23-25,39,1.0,6-4,251.0,30.5,LB,DENLACPITTEN,TuszDe00
5783,Darren Twombly,6-4,1987,1987,22,1,1.0,6-4,270.0,32.9,C,NWE,TwomDa20
5784,Rich Tylski,6-4,1996,2004,25-33,95,62.0,6-4,305.0,37.1,G,CARJAXPIT,TylsRi20
5785,Harry Ulinski,6-4,1950,1956,25-31,72,42.0,6-4,229.0,27.9,C,WAS,UlinHa00
5786,Chuck Ulrich,6-4,1954,1958,25-29,51,50.0,6-4,250.0,30.4,LDT,CRD,UlriCh20
5787,Mike Ulufale,6-4,1996,1996,24,3,0.0,6-4,277.0,33.7,DT,DAL,UlufMi20
5788,Mitch Unrein,6-4,2011,2017,24-30,95,24.0,6-4,301.0,36.6,DE,CHIDENSDG,UnreMi00
5789,Marvin Upshaw,6-4,1968,1976,22-30,99,77.0,6-4,260.0,31.6,DE,CLEKANSTL,UpshMa20
5790,Regan Upshaw,6-4,1996,2004,21-29,110,78.0,6-4,265.0,32.3,RDE,JAXNYGOAKTAMWAS,UpshRe20
5791,Jim Urbanek,6-4,1968,1968,23,8,0.0,6-4,270.0,32.9,DT,MIA,UrbaJi20
5792,Brian Urlacher,6-4,2000,2012,22-34,182,180.0,6-4,258.0,31.4,MLB,CHI,UrlaBr00
5793,Destiny Vaeao,6-4,2016,2018,22-24,33,3.0,6-4,300.0,36.5,DT,PHI,VaeaDe01
5794,Marquez Valdes-Scantling,6-4,2018,2023,24-29,92,60.0,6-4,206.0,25.1,WR,GNBKAN,ValdMa00
5795,Kyle Vanden Bosch,6-4,2001,2012,23-34,152,137.0,6-4,278.0,33.8,RDE,ARIDETTEN,VandKy99
5796,Leighton Vander Esch,6-4,2018,2023,21-26,71,65.0,6-4,256.0,31.2,MLB,DAL,VandLe00
5797,Andrew Van Ginkel,6-4,2019,2023,24-28,73,42.0,6-4,242.0,29.5,LOLB,MIA,VanGAn00
5798,Zach VanValkenburg,6-4,2023,2023,25,9,0.0,6-4,263.0,32.0,OLB,LAR,VanVZa00
5799,Cole Van Lanen,6-4,2021,2023,23-25,26,0.0,6-4,312.0,38.0,OL,GNBJAX,VanxCo00
5800,Louis Vasquez,6-4,2009,2015,22-28,102,101.0,6-4,330.0,40.2,RG,DENSDG,VasqLo20
5801,Charles Vatterott,6-4,1987,1987,23,2,1.0,6-4,263.0,32.0,G,STL,VattCh20
5802,Bob Vaughn,6-4,1968,1968,23,1,0.0,6-4,230.0,28.0,G,DEN,VaugBo20
5803,Khaleed Vaughn,6-4,2004,2004,23,3,0.0,6-4,276.0,33.6,DE,ATL,VaugKh20
5804,Vita Vea,6-4,2018,2023,23-28,79,74.0,6-4,347.0,42.2,NT,TAM,VeaxVi00
5805,Jason Vega,6-4,2013,2013,26,2,0.0,6-4,255.0,31.0,DE,DAL,VegaJa00
5806,John Vella,6-4,1972,1980,22-30,92,48.0,6-4,258.0,31.4,RT,MINOAK,VellJo20
5807,Ross Verba,6-4,1997,2006,24-33,113,107.0,6-4,308.0,37.5,LT,CLEDETGNB,VerbRo20
5808,Garin Veris,6-4,1985,1992,22-29,88,46.0,6-4,255.0,31.0,DE,NWESFO,VeriGa20
5809,Binjimen Victor,6-4,2022,2022,25,2,0.0,6-4,199.0,24.2,WR,BAL,VictBi01
5810,Luiji Vilain,6-4,2022,2023,24-25,5,0.0,6-4,252.0,30.7,LB,CARMIN,VilaLu00
5811,Ted Vincent,6-4,1978,1980,22-24,44,25.0,6-4,262.0,31.9,LDT,CINSFO,VincTe20
5812,George Visger,6-4,1980,1980,22,3,0.0,6-4,250.0,30.4,DT,SFO,VisgGe20
5813,Justin Vogel,6-4,2017,2017,24,16,0.0,6-4,219.0,26.7,P,GNB,VogeJu00
5814,Kimo von Oelhoffen,6-4,1994,2007,23-36,197,147.0,6-4,299.0,36.4,NT,CINNYJPHIPIT,vonOKi20
5815,Lloyd Voss,6-4,1964,1972,22-30,123,85.0,6-4,256.0,31.2,DT,DENGNBPIT,VossLl20
5816,Mike Vrabel,6-4,1997,2010,22-35,206,140.0,6-4,261.0,31.8,LOLB,KANNWEPIT,VrabMi20
5817,Andre Wadsworth,6-4,1998,2000,24-26,36,30.0,6-4,278.0,33.8,LDE,ARI,WadsAn20
5818,Carl Wafer,6-4,1974,1974,23,3,0.0,6-4,250.0,30.4,DE,GNBNYG,WafeCa20
5819,Ray Wagner,6-4,1982,1982,25,4,0.0,6-4,290.0,35.3,T,CIN,WagnRa21
5820,Jim Wahler,6-4,1989,1993,23-27,62,45.0,6-4,275.0,33.5,NT,PHOWAS,WahlJi20
5821,Van Waiters,6-4,1988,1992,23-27,80,21.0,6-4,240.0,29.2,LLB,CLEMIN,WaitVa20
5822,Stan Waldemore,6-4,1978,1984,23-29,79,38.0,6-4,263.0,32.0,G,NYJ,WaldSt20
5823,Clive Walford,6-4,2015,2019,24-28,52,14.0,6-4,252.0,30.7,TE,MIANYJOAK,WalfCl00
5824,Bruce Walker,6-4,1995,1995,23,11,5.0,6-4,310.0,37.7,NT,NWE,WalkBr22
5825,Byron Walker,6-4,1982,1986,22-26,58,3.0,6-4,190.0,23.1,WR,SEA,WalkBy00
5826,DeMarcus Walker,6-4,2017,2023,23-29,83,25.0,6-4,280.0,34.1,DE,CHIDENHOUTEN,WalkDe03
5827,Jeff Walker,6-4,1986,1989,23-26,30,0.0,6-4,295.0,35.9,G,NORSDG,WalkJe20
5828,Malcolm Walker,6-4,1966,1970,23-27,58,32.0,6-4,250.0,30.4,C,DALGNB,WalkMa20
5829,Mike Walker,6-4,1971,1971,22,5,0.0,6-4,235.0,28.6,DE,NOR,WalkMi22
5830,Quay Walker,6-4,2022,2023,22-23,31,30.0,6-4,241.0,29.3,RILB,GNB,WalkQu00
5831,Rick Walker,6-4,1977,1985,22-30,119,58.0,6-4,235.0,28.6,TE,CINWAS,WalkRi00
5832,Cooper Wallace,6-4,2006,2006,24,2,1.0,6-4,265.0,32.3,TE,TEN,WallCo00
5833,Cody Wallace,6-4,2009,2015,25-31,49,22.0,6-4,290.0,35.3,C,PITSFOTAM,WallCo20
5834,Lenny Walls,6-4,2002,2007,23-28,64,25.0,6-4,205.0,25.0,DB,DENKANSTL,WallLe20
5835,Roberto Wallace,6-4,2010,2011,24-25,14,0.0,6-4,225.0,27.4,WR,MIA,WallRo01
5836,Steve Wallace,6-4,1986,1997,22-33,176,127.0,6-4,285.0,34.7,LT,KANSFO,WallSt00
5837,Tre'Vour Wallace-Simms,6-4,2020,2021,23-24,5,0.0,6-4,336.0,40.9,G,JAX,WallTr01
5838,Will Walls,6-4,1937,1943,25-31,55,27.0,6-4,214.0,26.0,,NYG,WallWi20
5839,Ed Walsh,6-4,1961,1961,26,6,0.0,6-4,243.0,29.6,T,NYT,WalsEd20
5840,Riley Walton,6-4,1987,1987,25,2,0.0,6-4,245.0,29.8,TE,KAN,WaltRi20
5841,Tyson Walter,6-4,2002,2006,24-28,47,9.0,6-4,303.0,36.9,C,DALGNBWAS,WaltTy20
5842,Zack Walz,6-4,1998,2001,22-25,46,16.0,6-4,228.0,27.8,LB,ARI,WalzZa20
5843,Alex Ward,6-4,2023,2023,24,13,0.0,6-4,240.0,29.2,LS,LAR,WardAl00
5844,Channing Ward,6-4,2016,2017,24-25,6,1.0,6-4,279.0,34.0,DT,TAM,WardCh00
5845,Duane Wardlow,6-4,1954,1956,22-24,21,18.0,6-4,215.0,26.2,LDE,RAM,WardDu20
5846,John Ward,6-4,1970,1976,22-28,78,16.0,6-4,258.0,31.4,DT,CHIMINTAM,WardJo20
5847,DeMarcus Ware,6-4,2005,2016,23-34,178,173.0,6-4,258.0,31.4,ROLB,DALDEN,WareDe99
5848,Don Warren,6-4,1979,1992,23-36,193,181.0,6-4,242.0,29.5,TE,WAS,WarrDo00
5849,Frank Warren,6-4,1981,1994,22-35,189,83.0,6-4,285.0,34.7,RDE,NOR,WarrFr20
5850,Gerard Warren,6-4,2001,2011,23-33,163,137.0,6-4,325.0,39.6,LDT,CLEDENNWEOAK,WarrGe20
5851,Jeremiah Warren,6-4,2015,2015,28,3,0.0,6-4,320.0,38.9,G,TAM,WarrJe00
5852,Ron Warzeka,6-4,1960,1960,25,14,3.0,6-4,250.0,30.4,DT,OAK,WarzRo20
5853,Adolphus Washington,6-4,2016,2018,22-24,35,21.0,6-4,295.0,35.9,DT,BUFCIN,WashAd00
5854,Chris Washington,6-4,1984,1990,22-28,84,52.0,6-4,231.0,28.1,LB,PHOTAM,WashCh21
5855,Cornelius Washington,6-4,2013,2017,24-28,46,4.0,6-4,280.0,34.1,LB,CHIDET,WashCo00
5856,Corey Washington,6-4,2014,2014,23,14,0.0,6-4,200.0,24.3,WR,NYG,WashCo01
5857,Dave Washington,6-4,1968,1968,28,2,1.0,6-4,228.0,27.8,TE,DEN,WashDa01
5858,John Washington,6-4,1986,1993,23-30,119,53.0,6-4,280.0,34.1,LDE,ATLNWENYG,WashJo20
5859,Keith Washington,6-4,1996,2004,24-32,118,31.0,6-4,285.0,34.7,DE,BALDENDETNYG,WashKe20
5860,Robert Washington,6-4,1987,1987,24,3,0.0,6-4,251.0,30.5,T,PIT,WashRo20
5861,Tony Washington,6-4,2015,2016,23-24,6,0.0,6-4,250.0,30.4,WR,JAX,WashTo00
5862,Jim Waskiewicz,6-4,1966,1969,22-25,39,3.0,6-4,240.0,29.2,LB,ATLNYJ,WaskJi20
5863,Rokevious Watkins,6-4,2012,2013,23-24,4,1.0,6-4,338.0,41.1,G,KANSTL,WatkRo00
5864,Christian Watson,6-4,2022,2023,23-24,23,20.0,6-4,208.0,25.3,WR,GNB,WatsCh00
5865,Ed Watson,6-4,1969,1969,24,3,0.0,6-4,220.0,26.8,LB,HOU,WatsEd20
5866,John Watson,6-4,1971,1979,22-30,95,51.0,6-4,249.0,30.3,LG,NORSFO,WatsJo21
5867,Steve Watson,6-4,1979,1987,22-30,126,87.0,6-4,195.0,23.7,WR,DEN,WatsSt00
5868,Bob Watters,6-4,1962,1964,27-29,29,21.0,6-4,247.0,30.1,LDE,NYJNYT,WattBo20
5869,T.J. Watt,6-4,2017,2023,23-29,104,104.0,6-4,252.0,30.7,LB,PIT,WattT.00
5870,Russell Wayt,6-4,1965,1965,23,9,0.0,6-4,235.0,28.6,LB,DAL,WaytRu20
5871,Fred Weary,6-4,2002,2007,25-30,63,43.0,6-4,305.0,37.1,RG,HOU,WearFr21
5872,Jim Weatherall,6-4,1955,1960,26-31,65,44.0,6-4,245.0,29.8,LT,DETPHIWAS,WeatJi00
5873,Sterling Weatherford,6-4,2022,2022,23,14,0.0,6-4,221.0,26.9,LB,CHI,WeatSt01
5874,Buck Weaver,6-4,1930,1930,25,10,4.0,6-4,235.0,28.6,,CRDPRT,WeavBu20
5875,Emanuel Weaver,6-4,1982,1987,22-27,7,2.0,6-4,260.0,31.6,NT,ATLCIN,WeavEm20
5876,Herman Weaver,6-4,1970,1980,22-32,158,0.0,6-4,210.0,25.6,P,DETSEA,WeavHe20
5877,Jed Weaver,6-4,1999,2004,23-28,90,37.0,6-4,258.0,31.4,TE,MIANWEPHISFO,WeavJe00
5878,Rashad Weaver,6-4,2021,2023,24-26,33,4.0,6-4,259.0,31.5,LB,TEN,WeavRa00
5879,Joe Webb,6-4,2010,2020,24-34,104,4.0,6-4,231.0,28.1,QB,BUFCARHOUMINNYG,WebbJo00
5880,Dave Webster,6-4,1960,1961,23-24,28,28.0,6-4,220.0,26.8,FS/SS,DTX,WebsDa00
5881,George Webster,6-4,1967,1976,22-31,119,89.0,6-4,220.0,26.8,LLB,HOUNWEPIT,WebsGe00
5882,Mike Weddington,6-4,1986,1990,26-30,52,2.0,6-4,245.0,29.8,LB,GNB,WeddMi20
5883,Scott Wedige,6-4,2012,2012,24,2,0.0,6-4,310.0,37.7,C,ARI,WediSc00
5884,Arnie Weinmeister,6-4,1948,1953,25-30,71,65.0,6-4,235.0,28.6,LT,NYGNYY,WeinAr00
5885,Chris Weinke,6-4,2001,2007,29-35,29,20.0,6-4,232.0,28.2,QB,CARSFO,WeinCh00
5886,Todd Weiner,6-4,1998,2008,23-33,152,116.0,6-4,297.0,36.1,RT,ATLSEA,WeinTo20
5887,Arthur Wells,6-4,1987,1987,24,2,0.0,6-4,236.0,28.7,TE,TAM,WellAr20
5888,Bob Wells,6-4,1968,1970,23-25,20,2.0,6-4,280.0,34.1,T,SDG,WellBo20
5889,Bub Weller,6-4,1923,1928,21-26,61,57.0,6-4,224.0,27.3,LT,CRDFRNMILSTL,WellBu20
5890,Kent Wells,6-4,1990,1990,23,6,0.0,6-4,295.0,35.9,DT,NYG,WellKe20
5891,Reggie Wells,6-4,2003,2012,23-32,119,93.0,6-4,318.0,38.7,T,ARICARPHISDG,WellRe20
5892,Jonathan Welsh,6-4,2005,2005,23,6,0.0,6-4,231.0,28.1,DE,IND,WelsJo20
5893,Ad Wenke,6-4,1923,1923,25,11,11.0,6-4,220.0,26.8,RT,MIL,WenkAd20
5894,Clyde Werner,6-4,1970,1976,23-29,63,4.0,6-4,225.0,27.4,LB,KAN,WernCl20
5895,Greg Werner,6-4,1989,1989,23,10,4.0,6-4,236.0,28.7,TE,NYJ,WernGr00
5896,Antoine Wesley,6-4,2021,2021,24,15,4.0,6-4,206.0,25.1,WR,ARI,WeslAn01
5897,Chris Westry,6-4,2020,2021,23-24,8,2.0,6-4,199.0,24.2,DB,BALDAL,WestCh03
5898,Ethan Westbrooks,6-4,2014,2021,24-31,68,11.0,6-4,287.0,34.9,DE,LARNORSTL,WestEt00
5899,Robert West,6-4,1972,1974,22-24,29,5.0,6-4,218.0,26.5,WR,KANSFO,WestRo00
5900,Travelle Wharton,6-4,2004,2013,23-32,115,111.0,6-4,320.0,38.9,LG,CAR,WharTr20
5901,Blake Whiteheart,6-4,2023,2023,23,2,0.0,6-4,247.0,30.1,TE,ARI,WhitBl01
5902,Charlie Whitehurst,6-4,2006,2016,24-34,25,9.0,6-4,226.0,27.5,QB,CLEINDSDGSEATEN,WhitCh02
5903,Danta Whitaker,6-4,1990,1993,26-29,27,9.0,6-4,252.0,30.7,TE,CHIKANMIN,WhitDa00
5904,Dwight White,6-4,1971,1980,22-31,126,104.0,6-4,255.0,31.0,DE,PIT,WhitDw00
5905,Jason Whittle,6-4,1998,2008,23-33,137,44.0,6-4,305.0,37.1,LG,BUFMINNYGTAM,WhitJa22
5906,Jim White,6-4,1972,1976,24-28,48,7.0,6-4,256.0,31.2,DE,DENHOUNWESEA,WhitJi21
5907,Josh Whitman,6-4,2001,2001,23,4,1.0,6-4,245.0,29.8,TE,SDG,WhitJo21
5908,Mike Whited,6-4,1980,1980,22,16,2.0,6-4,250.0,30.4,T,DET,WhitMi21
5909,Randy White,6-4,1975,1988,22-35,209,165.0,6-4,257.0,31.3,DT,DAL,WhitRa00
5910,Reggie White,6-4,1992,1995,22-25,38,7.0,6-4,296.0,36.0,DT,NWESDG,WhitRe21
5911,Robb White,6-4,1988,1990,23-25,23,1.0,6-4,270.0,32.9,DE,NYGTAM,WhitRo21
5912,Taylor Whitley,6-4,2004,2005,24-25,18,11.0,6-4,318.0,38.7,RG,DENMIA,WhitTa21
5913,Tom Wickert,6-4,1974,1977,22-25,27,10.0,6-4,246.0,29.9,LT,DETKANMIANOR,WickTo20
