city_coords,sf_distance,ny_distance
"51.4893335,-0.14405508452768728",8639.423773991637,5584.795812034105
"-34.6037181,-58.38153",10388.840821422024,8491.790126600428
"51.7728245,19.478485931307937",9417.038394442316,6808.133180665606
"43.7343845,15.8941361",10050.98370037282,7038.655943830647
"25.0782266,-77.3383438",4463.570096492361,1761.377800032514
"33.88922645,35.50255852895232",11749.56210360756,9045.616271991312
"55.4984381,25.6025772",9232.955462078582,6939.127489484047
"60.2933337,25.0407809",8735.919155451467,6634.808891791588
"-23.5506507,-46.6333824",10422.00984423442,7657.842663718226
"45.238067,9.408656",9624.66537007114,6508.220200171785
"-26.3044898,-48.8486726",10446.768161306858,7862.316520597464
"-22.9215542,-43.1860269",10651.922929239316,7733.4029082086045
"47.3744489,8.5410422",9393.982971439553,6340.748725587847
"44.4666137,26.1119387",10363.955120471814,7668.435587269149
"56.9493977,24.1051846",9047.147414800926,6775.4102761414715
"56.5048435,21.0070903",9004.097637043167,6635.405580272005
"49.1460831,0.2255168",8848.366097513375,5696.182629168955
"44.5391105,18.675193",10087.754915934313,7178.727666962659
"51.44855695,5.450122521857143",8899.032142205462,5951.329123868364
"-34.9281805,138.5999312",12984.98324675679,17099.35206156843
"49.4143311,7.5722301",9169.972497548692,6178.888477650135
"43.3435855,17.8076584",10167.880739333328,7192.50030875508
"46.2293889,15.2616828",9789.241655370712,6852.617986077858
"45.5031824,-73.5698065",4093.980050820028,533.3675621731421
"40.6531617,38.5172032",11105.982352718767,8715.995550175981
"18.547327,-72.3395928",5285.913797551305,2462.2801579930556
"48.2083537,16.3725042",9646.51675332168,6814.515337455933
"45.9562503,12.6597197",9704.96676734886,6693.046765358556
"49.2608724,-123.113952",1277.346259629105,3914.1836357777047
"46.4602978,6.8418655",9396.173462959548,6269.004019732254
"-30.3154739,-61.1645076",9867.067951628327,7974.503861369556
"39.7743941,30.519116",10985.487553466017,8278.311815746756
"43.0341595,19.7473559",10275.798696290947,7342.956561787107
"52.1503721,10.3593147",9043.91123624742,6232.1567591253515
"52.5170365,13.3888599",9128.45391763844,6401.593268807697
"49.4404591,1.0939658",8866.68408616198,5743.848536645026
"41.4796899,2.3118347",9594.512958480813,6187.491047312666
"39.5695818,2.6500745",9774.5139224618,6310.3127946585555
"-31.87081425,-62.719989181749995",9889.497085646117,8119.762569040735
"14.0095966,-60.9902359",6566.1962474566235,3218.587441861393
"41.6934591,44.8014495",11109.124452107177,8999.039585528455
"43.451291,-80.4927815",3565.0062936215336,616.6768919958733
"26.535681,-78.6953623",4266.486407906629,1630.885064220132
"44.6386593,11.1874019",9760.452429205565,6663.390187386132
"-11.6642316,27.4826264",15853.906040033178,11814.16249035086
"15.374006,-16.4497224",10323.571953600906,6186.973548470453
"48.3275249,7.3363439",9255.058866925136,6213.667832020047
"42.4415238,19.2621081",10313.92041707206,7346.871870291498
"59.9606739,30.1586551",8884.153671404762,6896.355740293968
"49.8955367,-97.1384584",2420.1789518489736,2069.2036010354304
"-35.2975906,149.1012676",12183.18702927641,16228.30517743671
"39.9895878,28.8944669",10911.4974222235,8156.393952686112
"43.7234519,20.6870792",10245.109292397152,7362.983966353618
"44.8178131,20.4568974",10129.391220305952,7279.744703889518
"52.0799838,4.3113461",8794.751247780472,5852.584885597393
"50.0596288,14.446459273258009",9397.431264445471,6591.655765258258
"45.7752847,14.2139937",9788.200526816863,6807.912052056055
"28.358394150000002,-105.521525730494",1887.4579208632488,3178.146750558088
"18.3245149,-65.6531674",5884.159734721678,2607.338884299148
"10.443024300000001,-61.26130538878063",6778.140386707819,3580.693302441347
"-1.6665685,29.225652",15075.114934105955,11246.813048681031
"27.9580004,-15.6062305376665",9482.569735220031,5453.96833922784
"57.5080076,12.6970568",8644.410955978914,6132.345895124807
"47.7891763,22.8725598",9922.881465506724,7250.502644456087
"54.5562536,23.3503665",9264.831421380142,6872.20841194204
